,SRR1275356,SRR1275251,SRR1275287,SRR1275364,SRR1275269,SRR1275263,SRR1275338,SRR1274117,SRR1274089,SRR1274125,SRR1275299,SRR1275277,SRR1275370,SRR1275293,SRR1275348,SRR1275245,SRR1275342,SRR1274131,SRR1275346,SRR1275241,SRR1275279,SRR1275297,SRR1275273,SRR1274121,SRR1275336,SRR1274119,SRR1274087,SRR1274113,SRR1275267,SRR1275289,SRR1275283,SRR1275360,SRR1275255,SRR1275358,SRR1275352,SRR1275265,SRR1275368,SRR1275281,SRR1275362,SRR1275257,SRR1275350,SRR1274129,SRR1274123,SRR1275334,SRR1274085,SRR1274111,SRR1275249,SRR1275344,SRR1275243,SRR1275301,SRR1275295,SRR1275271,SRR1274133,SRR1275275,SRR1275291,SRR1275247,SRR1275340,SRR1274115,SRR1274127,SRR1275354,SRR1275259,SRR1275253,SRR1275285,SRR1275366,SRR1275261
SOWAHC,0,1,939,1,0,0,1,0,22,51,0,0,1,0,0,0,4671,55,0,0,0,0,0,1,0,0,1,0,0,108,2,0,0,1445,1359,0,1,0,0,0,14,47,0,0,4,0,1,0,12,63,31,705,0,5,0,0,1,0,5,0,0,1,0,1,0
SOX1,64,101,0,1,0,0,1,48,8,1,0,0,2617,0,0,0,198,47,74,183,0,0,0,26,854,292,45,4,15,0,0,0,0,0,76,0,1,0,136,0,34,163,8,0,14,0,800,0,0,25,0,0,1,0,9,0,1,25,0,0,0,1072,0,1,0
SOX11,47874,47874,5313,16512,18687,12019,2866,30589,13821,36843,23163,47874,15613,36843,2434,36843,1545,30589,4853,1842,23163,30589,26400,30589,47874,20729,15613,14335,36843,9550,11374,30589,47874,554,1115,36843,1066,18687,4475,17611,4240,15613,26400,36843,23163,26400,47874,15613,17611,36843,26400,12676,26400,20729,20729,36843,47874,26400,26400,36843,70593,23163,16512,47874,910
SOX12,488,101,33,1,0,0,232,4,19,12,1957,474,150,99,0,0,275,1390,39,161,33,228,88,1,0,26,3340,35,0,0,1,277,0,0,3834,0,1,9,8,20,213,9,38,0,4,7,1,0,0,190,0,18,1,30,4,0,1,2631,3,46,145,590,37,1,22
SOX2,0,1,482,1433,36,39,1,24,19,180,0,28,1,26,1123,0,606,30,363,223,0,0,45,7,317,33,11,510,0,32,12,0,0,1278,127,0,201,0,117,20,266,30,429,0,28,658,967,44,48,0,18,0,148,24,15,0,1,105,969,46,0,338,3,1,189
SOX2-OT,2441,368,6168,2237,475,45,2893,2997,45,712,0,2362,2728,18,637,37,723,20,674,365,0,0,200,717,3993,3,3,158,68,6852,6628,36,33,1134,355,0,2920,1,2987,43,2997,586,1157,0,1682,188,3516,0,3491,0,0,7,164,4142,6168,6,1,533,145,0,50,12019,0,1,575
SOX21,0,1,4,1,0,0,1,7,0,57,0,0,1,0,0,0,194,0,0,136,0,0,0,3,0,70,0,6,0,0,1,0,0,0,0,0,1,0,0,0,0,0,22,0,3,52,1,25,0,0,0,0,28,0,0,0,1,0,56,0,0,1,0,1,0
SOX4,36843,36843,47874,70593,10146,8956,1,36843,6316,6316,36843,26400,70593,18687,841,70593,16512,14335,4621,6316,30589,36843,23163,4219,70593,757,3491,2753,30589,70593,17611,70593,26400,7150,4498,10146,11374,23163,4162,20729,4955,837,7342,70593,9230,4747,36843,70593,9929,20729,30589,26400,17611,47874,36843,47874,70593,4594,6268,70593,36843,47874,36843,70593,2489
SOX5,541,2193,129,1,2,0,1,2270,8,292,2497,0,1769,0,165,777,420,27,0,1852,4,0,79,64,545,0,1,0,15,8,0,124,0,20,319,0,1964,126,147,20,605,1840,1,1151,1892,35,271,317,599,0,0,20,0,43,0,0,6268,82,137,920,0,120,1290,187,0
SOX6,170,1,47,577,0,126,1,236,48,48,0,94,1,37,174,0,3834,0,170,178,0,0,4,0,0,9,0,1005,0,69,56,0,0,0,353,0,2021,1,0,0,0,144,0,0,2,10,68,0,670,0,7,2,325,94,1154,0,1,88,3,350,0,1,0,1,0
SOX9,0,1,1812,1,2444,3301,1902,86,1797,9,0,4,150,0,1862,0,2557,721,2721,1040,1,0,23,1673,0,616,41,681,41,8,1397,0,1003,2721,734,32,1,1,5072,0,4452,3637,3637,0,414,6382,1578,14,1838,0,0,5,0,15,2658,2,124,2408,802,46,387,120,6,1,448
SP1,0,1,9,1,0,0,1,2031,25,6,0,46,1,0,0,0,63,3,196,0,1,0,264,0,0,26,0,62,0,0,2,167,0,1709,0,56,1,0,0,0,217,18,429,0,0,3,317,3433,0,108,0,0,20,126,2,0,1,0,116,966,0,1,0,65,0
SP2,0,1,0,1,4,406,1,0,28,0,0,0,1,18,0,0,0,13,62,0,1,0,0,0,0,178,0,7,0,213,1,0,70,0,0,0,1,29,0,20,0,0,131,0,6,195,1,0,0,0,0,0,2,0,0,74,1,6,0,0,0,1,32,1,65
SP3,0,2987,1711,1,16,300,1,1,0,136,235,0,182,0,0,0,63,64,0,0,0,0,324,289,1498,621,67,136,31,0,18,117,33,10,261,0,1,0,15,126,0,0,14,51,408,81,777,115,1937,0,0,2,18,0,0,0,84,1852,67,0,0,1489,0,390,70
SP4,0,220,0,796,0,0,1,0,0,63,13,2,4498,418,85,223,0,0,21,0,3,2581,88,1329,668,3,70,1,190,57,118,36,0,295,0,0,5978,0,2866,0,0,7,0,1762,134,1483,2373,0,34,0,7,1797,0,0,2698,0,1,0,138,0,0,1,0,1,0
SP8,1536,220,0,1,0,0,1,0,229,2,0,484,504,0,0,0,0,38,21,0,0,0,0,5,2581,18,21,254,0,0,0,0,0,0,0,0,1,0,0,0,0,21,6,0,1,2,1,0,0,0,0,0,11,69,40,0,1,24,0,0,0,1,0,1,0
SPA17,0,1,0,1,15,0,1,8,9,44,0,0,1,0,0,0,0,222,0,0,0,0,0,3,0,33,29,290,0,0,0,0,0,93,0,0,1,0,0,0,0,0,711,0,1,0,1,0,0,0,0,0,9,208,0,0,1,0,139,0,0,1,0,1,0
SPAG16,0,1,0,1,8,0,687,39,0,3,0,26,1,0,2198,0,92,1920,39,137,153,14,0,46,0,15,43,0,0,0,35,0,0,0,14,0,1,0,0,0,1420,2,0,0,8,15,1,0,0,0,0,728,401,0,0,0,1,28,691,0,0,1,107,192,0
SPAG5,0,1,14,1,0,0,1,15,4,222,7,0,1,0,0,0,0,0,0,0,4,14,43,1565,0,554,438,0,0,32,4,0,0,0,0,0,1,1,0,0,0,117,27,0,2553,201,1,0,0,25,0,2,584,453,5,0,1,0,86,0,0,1,3,1,0
SPAG7,329,1,34,1,1247,589,1,232,0,125,43,111,1,0,118,73,389,0,0,208,5,0,4,953,0,0,66,37,697,0,0,0,98,0,41,32,1,0,15,80,0,23,1275,0,188,231,222,0,0,753,918,5,46,157,8,2,1392,0,1,0,0,1,53,1,310
SPAG9,64,4062,34,1205,823,320,6764,201,19,2,169,2152,1,0,310,4428,3421,200,21,38,4878,914,17,180,270,39,3,309,463,249,833,1078,56,10,555,19,1,32,0,62,1326,143,1592,3069,1097,193,1868,0,181,72,778,22,43,3421,3375,102,482,1,476,148,2121,1,680,777,0
SPARC,129,101,1054,1,4722,369,1,2,1747,4621,7,2,1,26,3459,82,10360,887,21,5108,0,0,33,56,270,8,824,2866,72,36,23,0,70,200,6213,202,5818,1,0,0,2569,1444,662,72,8956,512,68,107,7987,0,7,0,769,51,674,4300,1,4209,1525,93,118,1,9,3198,5313
SPAST,601,1,983,1,0,0,1,0,0,0,0,765,368,0,0,373,621,1374,39,0,8,1022,819,4,0,0,1,9,0,8,129,36,131,34,0,0,1,1174,0,126,0,218,5,123,0,0,1,14,12,145,0,0,1116,43,4,0,427,681,0,0,0,1,9,2519,177
SPATA13,606,101,0,1,2952,56,1,1,1,156,0,0,150,0,55,0,0,322,7777,117,0,14,4,19,0,0,0,2,0,0,0,357,0,51,2493,19,1,0,1673,0,264,0,0,0,1,422,68,0,1542,0,0,0,15,0,0,0,1,187,3,46,0,1,3,1,0
SPATA5,193,1,0,6515,4,338,1,10,0,2,0,66,1,0,0,0,138,544,62,0,0,14,35,0,527,0,184,94,15,5172,0,0,0,0,0,19,1,36,19,0,0,2,428,0,0,73,1,0,861,14,0,1038,0,6,13,6,5577,854,4,46,0,1,3,1,0
SPATA6,0,1,0,1,43,26,1,1489,107,0,0,0,1,0,0,0,492,0,0,0,0,0,0,0,0,51,1,0,0,8,0,0,0,0,0,0,1,0,0,0,0,2,1,0,18,27,1,0,0,0,0,0,1,0,49,0,1,57,14,0,0,1,0,1,0
SPATA7,0,1,28,1,27,14,1,2,1318,26,0,0,1,0,0,0,0,29,0,0,1018,0,4,0,0,0,0,0,109,0,0,0,0,0,0,0,1,0,0,0,1245,0,0,0,2,100,1,0,27,0,0,0,0,293,3,0,1,0,0,0,243,1,0,1,0
SPATS2,828,101,0,1,385,0,1,138,19,3,32,5,1,65,0,0,0,625,0,0,169,14,41,72,1410,0,5,0,179,36,36,918,173,0,0,0,1,1,0,0,14,148,150,904,0,146,1,62,12,219,0,0,223,15,0,68,1,4,285,0,243,1,3,258,0
SPATS2L,64,1,9,1,4,0,616,2,68,0,71,13,82,31,14,60,542,43,21,1937,7,28,0,24,237,0,1,8,96,60,24,0,70,0,7,0,89,1,0,107,14,5,0,51,3,2,222,14,0,14,14,9,7,8,240,10,1,1,4,148,0,1,3,65,22
SPC24,129,1,0,1,0,0,1,46,5,304,0,2,1,0,10,0,0,408,0,1080,1,0,0,513,0,83,28,3035,0,0,21,0,0,0,9,19,1,0,949,0,0,1516,76,0,4,792,1,108,0,0,0,2,640,416,359,0,1,2721,7,0,0,1,0,1,0
SPC25,0,1,0,1,0,0,1,8,10,364,0,0,1,0,0,0,0,2,0,117,0,0,0,4,0,75,13,20,0,0,17,0,0,0,0,0,1,0,0,0,0,72,20,0,45,185,1,0,0,0,0,0,5,285,8,0,1,18,0,0,0,1,0,1,0
SPCS1,0,1,1008,1,87,2193,1,67,2698,899,0,182,82,894,22,0,245,347,0,163,91,0,142,70,62,925,535,77,31,0,96,36,0,598,0,473,436,26,569,0,0,24,405,0,42,640,321,48,63,62,46,57,862,155,90,0,427,91,36,0,0,120,27,1,936
SPCS2,2595,1,531,955,1598,0,506,1105,609,341,269,14,785,18,1611,0,515,397,153,885,105,274,927,303,0,401,485,0,758,0,76,36,2813,222,131,1555,3709,89,38,2441,242,491,1,51,637,1092,1,187,0,48,1113,0,164,1378,1486,15,2380,4,1375,437,139,198,363,1,22
SPCS3,64,1,44,1,38,0,420,55,1,0,0,0,1,0,98,90,4498,3087,0,0,0,366,0,1,0,1,2160,172,0,0,2207,855,0,2260,4,0,267,4,0,0,0,0,149,484,64,0,1,18,160,160,0,2,3,8,78,843,1,614,101,0,0,1,3,1,424
SPDL1,0,101,0,1,5,0,331,1148,0,6,0,0,1,0,0,0,0,1892,21,0,0,0,0,22,0,24,0,5313,0,2712,0,0,0,0,0,0,89,1,36,0,0,211,91,0,4,7,10848,0,0,0,0,1519,797,0,1226,0,1,3,1338,0,345,1,571,1,0
SPDYA,0,1,0,1,0,0,1,26,0,0,0,85,1,0,0,0,0,0,0,0,144,0,0,0,0,0,1,0,0,0,0,0,0,193,0,0,1,34,0,0,0,21,160,176,2,77,1,0,0,0,0,0,0,0,52,0,1,0,0,0,0,1,0,1,0
SPDYE1,0,409,12,598,0,317,1,0,0,0,0,2,1,0,56,118,0,0,58,17,0,0,0,1,0,0,0,1,107,43,0,146,0,130,12,0,488,0,0,20,27,11,17,127,0,8,68,164,100,73,0,5,2,15,0,0,202,0,0,0,0,330,44,1,0
SPDYE2,64,1,56,682,0,0,1,2,0,2,0,5,1,0,16,0,0,2,92,0,39,153,0,5,0,0,0,23,124,128,0,284,0,0,29,0,853,1,0,0,166,33,0,447,0,11,252,77,0,47,7,0,12,6,0,0,1,0,2,0,0,585,24,1,0
SPDYE5,0,483,0,369,0,0,1,0,0,1,18,4,1,0,69,82,0,0,54,145,1,0,0,1,0,33,0,9,62,8,1,162,0,160,9,0,154,9,0,0,27,16,22,115,33,12,1,124,85,202,7,5,1,42,0,0,251,68,0,0,0,330,137,1,0
SPECC1,0,101,319,227,4642,34,1,65,1,1,295,184,243,0,1828,0,0,0,0,0,1,0,52,6,0,0,0,15,0,0,502,430,746,10,9,51,1,0,0,20,14,161,0,0,0,4,1,484,0,14,0,0,8,5,234,599,1,226,728,0,1199,524,0,1,0
SPECC1L,0,1,107,1,0,0,1,0,0,0,0,59,1,0,102,0,0,0,0,0,0,0,0,93,0,0,35,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,106,0,0,0,25,0,24,1,371,0,0,0,1,3,1,0
SPEN,0,1,88,1372,515,14,10360,569,51,39,2889,3187,1926,1778,84,390,34,0,0,1273,232,184,1344,978,926,11,1,813,53,5577,635,475,155,0,2762,166,300,1247,266,898,208,21,79,193,18,1491,845,34,0,1196,141,989,68,1089,1016,252,1,3,7,655,78,3018,42,6852,50
SPG11,64,1,12,1199,0,0,690,0,1,7,7,30,1,0,10,0,0,0,0,0,0,68,0,3402,0,5,6,17,3579,964,64,0,0,56,0,0,1,0,26,126,27,7,16,2474,21,0,1,212,151,0,178,0,0,0,39,0,84,1,0,0,0,3539,0,1,22
SPG20,0,1,0,1,0,14,1092,0,0,0,0,2,1,0,0,0,1304,25,0,204,0,28,0,2355,0,0,257,0,0,8,4,0,1145,0,5038,0,1,1,0,0,2031,0,5,0,144,0,1,0,86,0,0,0,0,616,12,0,1,0,0,46,0,1,64,1,225
SPG21,0,1,0,1,0,65,1,6,421,40,90,0,1,4967,0,0,0,48,0,0,12,0,0,0,0,25,1,1,0,0,1,0,0,0,4,0,1,157,1260,0,0,917,0,0,0,2,2441,0,43,0,80,33,19,3,305,8,1,15,0,0,0,1,0,1,0
SPG7,0,1,7,1,0,0,1,0,0,0,0,0,1,0,48,0,0,0,0,0,0,0,4,18,354,0,0,1,111,0,0,0,0,34,0,0,1,5,0,0,0,0,0,72,0,0,1,0,0,0,0,313,128,54,0,2603,1749,13,0,0,0,1,0,267,0
SPICE1,0,1,26,1,0,14,1,29,0,0,0,0,1,0,704,0,211,93,436,0,0,0,0,25,0,0,135,13,0,0,0,0,0,0,4,0,1,0,0,0,245,0,0,0,0,0,1,0,22,0,0,0,7,111,1,0,1,0,0,0,0,1,0,1,0
SPIDR,0,1,0,1,42,14,179,0,8,0,0,0,82,0,0,0,0,0,0,769,0,0,269,0,62,3,0,0,0,1261,40,127,0,10,0,463,1585,0,864,20,0,2,1,0,86,2,1,0,12,0,101,2,53,1,0,0,1,250,242,251,0,120,0,1,0
SPIN1,5930,1,0,1,128,0,1,20,34,1706,220,474,1,127,145,0,34,186,0,0,263,1430,7987,154,0,447,2459,3,161,698,220,36,628,1206,7,484,1651,952,0,277,658,7,19,0,201,46,1,1465,141,656,1563,2,128,195,0,3469,1,0,147,504,0,1,1910,1,0
SPIRE1,0,1,4,1,0,0,1,0,110,0,19,20,1,177,262,830,0,0,0,155,266,319,563,0,1596,0,0,0,540,0,21,0,0,0,513,0,1,234,82,0,0,0,0,1656,0,0,1,0,19,294,194,949,5,8,1,2,1,0,0,2015,0,489,454,1266,0
SPOCK1,0,320,0,1,793,26,1,0,5,0,54,442,1,153,0,0,0,105,0,0,216,0,4,24,3818,44,0,526,0,8,0,0,0,0,0,0,1,1031,175,0,0,0,0,0,0,0,1,0,0,0,0,0,341,0,0,2,1,0,67,0,0,1,28,1,0
SPOP,682,101,0,1,2,1766,1,281,1,6,40,2420,1,18,0,179,139,90,0,106,15,1082,17,1284,1156,611,33,0,0,1332,557,0,0,63,400,96,1,2,0,0,255,10,1,2441,65,29,1,0,0,248,0,476,0,9,0,1404,1,1,511,0,0,1,0,1179,250
SPOPL,0,1,0,1,0,0,1,1977,0,40,0,0,1,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,0,0,78,742,100,0,0,0,0,0,0,0,0,1,670,33,0,0,1,60,1,299
SPPL3,0,503,36,1,4,58,1753,0,40,1,16,6,1,0,19,0,0,0,21,0,3,0,0,11,0,0,110,0,0,77,0,84,0,181,124,0,1,98,0,437,246,0,413,0,197,2,1,1614,231,62,0,0,0,60,0,78,1,0,1,0,0,1,6,87,0
SPRED1,0,1,133,1,3198,0,1,219,38,1,13,2045,150,57,50,0,34,0,139,0,129,52,0,0,426,5,374,6,96,92,0,36,98,68,52,0,1,140,0,184,27,318,34,595,4,18,1,0,19,45,38,13,189,6,6,4,1,1,0,0,0,120,21,137,0
SPRED2,0,1,0,1,0,0,1,0,5,1420,0,0,1,0,25,0,0,117,0,0,0,0,0,167,0,0,51,0,0,0,13,302,0,10,0,0,1,0,0,0,346,0,0,0,3,0,1,0,0,0,0,5,0,25,0,0,1,9,0,0,94,1,0,1,58
SPRTN,0,1,0,1,0,0,1,0,746,0,0,0,293,0,0,0,0,150,0,0,1,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,1,17,4747,0,118,0,0,0,0,110,1,7,0,0,7,0,1,0,0,40,1,0,4,0,0,1,0,1,0
SPRY1,0,1,4,1,43,0,1,451,95,34,0,0,1,0,47,0,84,28,0,84,0,0,272,53,0,1154,953,4,0,0,0,0,0,0,0,0,1,2,0,20,0,103,29,0,56,62,1,0,0,0,0,0,62,0,10,154,1,85,4,46,0,1,0,1,0
SPRY2,0,1,0,1,207,0,1,0,359,3,0,0,1,0,1437,0,186,2,0,0,0,0,0,0,62,0,40,1,0,0,96,0,0,72,144,0,1,1,0,20,1676,0,0,0,19,3,1,0,0,14,0,0,111,0,53,0,1,0,182,46,0,1,0,1,0
SPRYD7,2070,1,0,1,0,0,1,67,0,0,7,276,1,0,14,0,0,0,0,0,29,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1016,0,0,0,0,1,0,0,0,0,0,1,0,1,0,199,11,7,0,0,1,0,302,0
SPSB3,0,1,0,1,0,0,1,0,0,7,0,98,2401,0,45,0,46,0,0,0,1,0,0,1,0,14,0,2,0,0,0,0,0,0,0,19,1,23,75,0,0,0,0,468,5,0,1,1027,714,111,0,0,0,0,0,2,1,0,0,414,357,1,0,1,0
SPTAN1,170,1608,88,2373,2,14,187,0,195,52,812,3459,82,31,34,418,0,28,39,67,51,1834,445,0,1029,0,12,1,332,303,3087,182,56,290,12,277,1,5108,44,4001,211,2,652,2943,0,0,1119,14,12,1656,5396,340,0,2902,422,98,161,11,16,1335,3087,120,177,1231,74
SPTBN1,129,281,15,1,189,181,1660,896,1539,168,3099,877,1,260,24,0,0,1,0,27,229,498,434,2424,1233,0,93,306,0,1717,1576,1469,0,1151,4,816,1053,4840,8,43,38,65,845,51,217,128,2062,7,0,4722,179,1165,20,693,1532,9730,2317,1,167,1404,0,1741,65,304,58
SPTBN2,170,1,15,1,6,34,153,3,0,1,140,30,82,47,130,0,34,2,81,336,14,65,66,5,127,50,0,0,85,91,3,300,146,29,7,265,154,357,62,1969,48,7,54,132,4,106,68,474,41,104,43,11,9,13,2,45,165,51,2,115,124,266,116,112,22
SPTLC1,0,1,2299,1,2241,26,1,3,0,0,0,2,12356,0,6,0,0,0,21,81,1,34,45,1,0,0,2,1134,0,32,34,0,0,0,17,3133,1,2,0,0,0,2,73,0,0,104,1,7,19,25,36,5,0,0,6,0,7663,16,1,0,171,1,718,1,0
SPTLC2,0,1,0,1,2,226,1,0,0,22,7,0,1,0,43,0,0,2,0,0,62,0,0,0,62,1,122,9,41,0,0,0,0,131,0,1430,1,9,0,0,0,463,0,136,66,0,1,0,0,0,0,0,1,0,0,2,1,0,0,0,173,1,0,1,0
SPTY2D1,0,101,14,1,1686,0,222,0,3,0,0,0,1,77,785,90,0,3,391,0,1,1567,33,0,0,21,73,67,0,26,0,36,33,0,0,65,1344,1,0,0,0,21,2,0,0,16,1,32,0,0,92,2,6,15,4,0,1377,0,0,0,0,1,3,1,4567
SQLE,7150,1,1304,1,0,0,187,375,1245,20,0,0,1,0,12,0,2021,50,0,0,2823,0,9,438,62,126,689,57,686,0,11,0,519,3709,18,19,1,0,1600,538,237,173,169,498,46,97,1,14,29,0,142,10,6,5,1674,7,1,3018,2045,0,6020,1,3,324,82
SQSTM1,0,1,0,1,0,14,1,1,0,0,0,12,1,1567,10,129,0,2,0,362,1,0,0,2,0,0,5,0,406,380,0,106,70,1351,0,161,1,0,0,20,14,0,0,0,0,0,1,0,78,14,0,0,0,2,35,45,84,0,3,137,0,1780,24,1,78
SRA1,64,1,1432,158,326,0,1,0,5,121,0,176,1,0,56,0,34,73,0,1038,181,0,0,1,0,0,3187,8,0,0,11,68,0,0,0,1277,5507,3,197,0,0,166,0,0,36,0,1,14,0,0,0,0,10,60,0,17,1,6,1,0,0,1,338,1,662
SRBD1,0,1,0,1,43,0,1,5,2681,1,0,95,2324,0,0,0,0,0,0,0,0,0,4,0,0,0,4,15,0,0,33,0,0,0,0,0,1,1,0,0,0,2,0,0,0,2,1,0,0,0,0,5,61,19,83,0,1,0,63,115,103,1,29,1614,0
SRCAP,0,1,0,1,0,0,126,9,8,0,7,5,1,325,0,322,34,0,0,583,11,69,0,0,0,26,0,0,0,82,102,437,70,32,4,19,1,6,0,0,0,0,0,0,0,8,103,0,0,0,142,0,3,9,68,0,197,0,0,3156,0,1,3,1,22
SREBF2,1315,101,4,513,5,95,1522,38,410,152,64,64,1,184,476,0,0,81,39,385,415,555,0,229,0,16,1,144,416,75,318,0,2267,147,136,32,1,433,482,1920,182,0,2,228,219,13,1830,633,732,645,625,130,320,0,10,444,1,115,481,0,473,1,27,126,50
SREK1,0,101,3326,1,593,429,1,2203,969,163,0,725,2627,380,97,37,1680,123,722,88,566,561,106,2,769,168,332,2366,31,1181,333,1116,654,0,622,1308,4104,3,1245,0,2911,2652,117,0,1125,2048,1,1287,832,227,2404,25,277,951,2003,2260,1,910,5072,46,0,120,21,8606,0
SREK1IP1,0,568,71,638,31,275,1,50,36,24,35,9,1,0,52,147,349,34,0,165,16,24,96,159,0,132,97,154,132,0,18,3637,104,0,0,0,89,0,0,654,292,29,181,0,4,57,561,23,0,47,45,0,58,1,0,2,1,407,7,0,78,1,34,1,99
SRF,220,1,97,158,2,87,1,21,72,0,243,0,1,0,0,0,0,4,886,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,83,267,0,80,0,0,0,1,83,0,560,1,29,259,0,27,0,1,0,0,63,709,0,0,0,0,1383,0,1,0
SRFBP1,0,1,7,1,5,908,1,0,0,1,30,26,1852,0,6,0,0,66,130,0,1287,0,13,188,0,0,0,4,0,0,0,0,91,0,0,194,1,57,0,62,1466,0,0,0,0,187,1,354,0,560,0,0,37,67,99,0,1,14,0,46,585,1,19,1,854
SRGAP1,1471,4024,170,5246,9,287,1,0,567,2,168,12,82,0,24,6569,0,0,0,243,1274,182,4955,41,500,0,0,1653,1847,937,64,2077,98,10,0,509,1,2324,0,1080,1227,159,0,8079,0,2987,1126,7,2863,3254,1053,863,26,72,1241,935,900,0,2,1753,354,5246,600,1,86
SRGAP2,64,101,1977,1,20,379,1,1,1,1119,196,65,182,0,10,0,72,4,39,541,44,51,462,72,0,4,8,151,0,245,111,0,0,20,30,56,675,100,24,62,34,18,310,184,18,820,6382,0,19,14,73,157,83,0,26,634,1,0,67,211,0,1,9,1,0
SRGAP2B,295,1,1774,1199,217,900,319,198,4,173,372,1667,1,1916,129,641,34,175,39,229,57,207,13,26,0,12,18,5,113,0,817,68,0,91,22,32,380,641,841,338,0,61,215,72,36,842,1,841,978,435,209,0,7,2026,961,411,1741,7,29,380,0,2866,522,1,1033
SRGAP2C,2146,1,3276,1,31,46,126,910,288,270,19,84,1,492,10,3948,0,23,1582,815,10,159,65,9,0,17,75,17,826,0,78,0,0,68,17,40,1,26,62,1076,0,7,11,981,10,65,1,522,1766,14,40,66,38,174,93,160,453,3,9,1589,0,886,20,404,82
SRGAP3,220,1,198,1,34,206,561,284,120,7,1118,218,1,26,19,0,0,6,154,23163,386,0,20,72,0,20,26,38,714,754,728,681,0,235,396,202,491,151,418,43,337,212,98,4694,80,2,1,0,328,0,4722,256,806,114,1493,0,1,6,99,426,320,3340,533,807,114
SRI,813,1,2648,1,360,1020,775,617,131,1550,55,48,1,0,436,0,0,319,39,909,18,46,252,374,0,16,1709,591,0,8,441,0,0,401,1168,19,1277,110,112,0,1152,66,342,0,1611,1167,164,0,76,192,0,0,869,416,12,497,885,331,438,0,255,1,0,1,1245
SRM,0,1,0,1,8,140,1,0,0,3,142,62,1,0,21,0,0,7,0,0,717,0,86,0,0,0,264,13,0,123,0,0,0,0,0,51,594,121,0,0,0,0,0,0,0,0,1,83,0,266,606,0,0,104,0,8,1,0,7,0,0,1,779,1160,0
SRP14,1149,791,2437,359,2511,353,4878,2780,3579,4722,33,2850,3156,959,1095,90,2175,2234,526,1261,1229,745,1188,2572,2599,3818,4671,1807,1156,1902,468,1673,1113,557,846,217,170,1308,135,1578,2401,5930,5766,2314,507,838,281,1191,576,1320,1589,1971,1126,1338,1392,2280,471,5538,3480,1942,2466,1,627,721,2581
SRP19,64,1,9,1,152,253,1,284,1260,47,435,21,990,0,478,150,0,313,86,0,5,656,119,128,0,66,296,5,1067,248,0,240,1512,57,4,2267,368,15,443,148,0,55,1,0,397,17,197,611,76,0,636,91,6,234,153,88,1,4,243,524,0,120,275,1,105
SRP54,0,1,0,1,5,2830,398,17,42,14,603,4,692,0,14,0,77,238,94,0,4,0,2997,10,0,5,208,2,177,8,0,0,0,231,91,83,1,187,342,0,421,177,1350,0,577,0,1,7,190,0,7,1838,1045,1,51,0,1,0,0,0,0,1,44,126,0
SRP68,64,1,0,1,6,0,1,0,2,2,324,0,1,0,0,0,0,0,0,520,0,0,0,14,0,0,7,32,0,0,30,0,0,0,0,0,1,0,32,0,0,0,0,0,0,871,1,0,19,557,0,326,0,0,0,0,1,290,7,0,0,1,0,327,0
SRP72,0,177,9,1,1604,0,1,37,1330,750,1052,2,532,1648,701,37,0,1415,3783,0,43,0,30,3900,1160,464,3175,34,68,0,23,36,498,10,94,0,1,458,0,0,0,498,0,281,32,2511,3971,136,188,126,14,9,2404,1010,432,4,1,40,36,2139,0,1,110,1,226
SRP9,2666,1074,6117,574,6764,5108,5650,8606,7777,5353,3783,2681,1,26,2051,1745,3579,9386,294,398,4594,512,1998,4903,839,6852,11681,1778,3900,147,7873,766,3421,1757,923,2143,4903,4240,2198,1386,3914,3230,4024,1536,3681,6934,191,8956,14335,745,4694,3939,6382,7003,1931,288,84,5577,4162,1001,94,1,2540,87,1512
SRP9P1,262,320,26,2254,15,70,274,6,5,319,1064,5,1,0,28,60,103,12,0,44,7,1714,39,8,127,24,31,7,83,0,1,106,170,44,14,40,261,2,31,2031,69,22,6,3637,7,21,3187,1557,89,41,35,683,3,10,1,2,1,3,8,128,0,1,35,1,116
SRPK1,0,1,153,1,8,0,1,113,499,1741,32,59,82,421,0,0,328,152,0,0,395,0,20,19,62,9,51,46,4452,19,8,0,244,1024,0,0,1,9,42,143,0,210,10,0,29,86,1,7,0,476,0,2,247,1,1,0,2977,209,157,0,468,813,6,438,0
SRPK2,0,1,45,656,1258,26,1383,20,10,24,171,1628,1,18,16,60,76,0,0,495,2358,163,4,19,0,0,999,1354,15,216,61,971,136,562,524,1739,1,66,35,771,457,200,141,330,144,4,578,274,517,2241,21,378,3,0,14,898,3539,250,535,0,5682,9230,4631,1,0
SRPR,0,1,0,158,108,0,1,89,0,0,0,0,1,0,0,0,0,18,0,0,0,0,0,0,0,0,53,0,0,19,181,0,0,0,0,19,1,2,26,180,0,0,8,0,0,0,1,0,0,0,0,2,0,0,0,20,1,42,14,0,0,1,3,1,731
